"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 06:22:17 GMT 2024","Mon Apr 29 06:22:17 GMT 2024","219","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","alertTest","alertTest",""
"passed","Mon Apr 29 06:22:12 GMT 2024","Mon Apr 29 06:22:12 GMT 2024","4","Surefire suite","Surefire test","alertsFramesWindows.temp.LogAddTest","alertsFramesWindows.temp.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 06:22:04 GMT 2024","Mon Apr 29 06:22:08 GMT 2024","3435","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Mon Apr 29 06:22:12 GMT 2024","Mon Apr 29 06:22:14 GMT 2024","2048","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","sliderTest","sliderTest",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","networkTest","networkTest",""
"passed","Mon Apr 29 06:22:09 GMT 2024","Mon Apr 29 06:22:11 GMT 2024","1559","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 06:22:14 GMT 2024","Mon Apr 29 06:22:16 GMT 2024","1456","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 06:22:01 GMT 2024","Mon Apr 29 06:22:04 GMT 2024","2690","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.GoogleSearchTest","alertsFramesWindows.temp.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Mon Apr 29 06:21:37 GMT 2024","Mon Apr 29 06:21:37 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"unknown","Mon Apr 29 06:21:38 GMT 2024","Mon Apr 29 06:21:38 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
